,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
13,0,,123763,tt0100990,es,"Yo, la peor de todas","A viceroy and an archbishop take their posts in Mexico. A local nun, Sor Juana Inés de la Cruz (1651-1695), intrigues them. The viceroy and his wife find her brilliant and fascinating. The prelate finds her a symbol of European laxity. He engineers the election of a new abbess, severe and ascetic. The virreina visits Sor Juana often and inspires her to write passionate poetry that the archbishop finds scandalous. The viceroy protects her. After he is replaced and returns to Spain with his wife, Sor Juana faces envy and retribution. A bishop betrays her, her confessor humbles her. Plague, a tribunal, and her confession as ""the worst of all"" end the great poet's life.",0.202495,1990-08-09,0.0,105.0,Released,,"I, the Worst of All",6.8,3.0
14,38000000,,30943,tt0120646,en,The Deep End of the Ocean,"Michelle Pfeiffer is ferocious in the role of a desperate mother whose 3-year-old son disappears during her high school reunion. Nine years later, by chance, he turns up in the town in which the family has just relocated. Based on Jacquelyn Mitchard's best-selling novel (an Oprah book club selection), the movie effectively presents the troubling dynamics that exist between family members who've suffered such an unsettling loss.",5.78468,1999-03-12,28121100.0,106.0,Released,The search for her son was over. The search for her family was just beginning.,The Deep End of the Ocean,6.0,58.0
15,102000000,,180,tt0181689,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,2002-06-20,358372926.0,145.0,Released,The system is perfect until it comes after you.,Minority Report,7.1,2663.0
16,0,,182950,tt0042262,en,Blonde Dynamite,"While Louie is on vacation, the boys turn The Sweet Shop into an escort service, and soon find a group of beautiful girls as their first clients.",0.018424,1950-02-12,0.0,66.0,Released,RIOTOUS ROMEOS! CUCKOO CASANOVAS!,Blonde Dynamite,0.0,0.0
17,0,,80256,tt1901033,fi,Vares – Sukkanauhakäärme,"In the heat of the night, a man from faraway plays the piano. In the local hillside prison, a bitter double-crossed convict stares at the city life over the roofs. A revenge is brewing in his mind; the blood-thirsty killer prepares his escape. Vares gets a client who needs private investigations. Despite the beautiful wife, Vares smells a rat... In the middle of the summer night, a shot rings out. One life comes to an end and Vares finds changes in his assignment. The clues lead him to first-hand encounters and second-hand bookshops; a visit to the gym reveals a drug-smuggling route from Stockholm... Vares finds himself entangled in hot money and cool silk. In the background slithers a cunning garter snake.",0.890978,2011-08-05,0.0,0.0,Released,,Garter Snake,5.7,10.0
18,10000000,http://www.ouridiotbrother.com/,59968,tt1637706,en,Our Idiot Brother,"Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother Ned, an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him, Ned isn't such an idiot after all.",5.918193,2011-08-26,17273593.0,90.0,Released,Everybody has one,Our Idiot Brother,5.9,369.0
19,0,,19139,tt0499487,en,Goal! III : Taking On The World,"In the third installment of the football drama trilogy Goal!, Kuno Becker returns as Mexican footballer Santiago Muñez, who, along with his best friends and England national team players Charlie Braithwaite (Leo Gregory) and Liam Adams (JJ Feild), are selected for their respective national teams at the 2006 FIFA World Cup Finals in Germany.",3.128836,2009-01-01,0.0,91.0,Released,,Goal! III : Taking On The World,3.8,36.0
20,0,,163631,tt0078024,en,Oliver's Story,"Oliver Barrett IV is emotionally devastated by the death of his wife Jenny, and, while he tries to lose himself in his work as a lawyer, the long hours don't ease his pain, especially when he finds that his leftist views conflict with those of the senior partners at the firm. Eventually, Oliver's inconsolable grief begins to alienate those around him, until he finds new love with Marcie Bonwit, the wealthy and beautiful heiress to the Bonwit Teller fortune. Despite his affection for her, Oliver finds it difficult to leave the memory of Jenny behind, which causes major problems in their relationship..",6.823808,1978-12-15,0.0,91.0,Released,It takes someone very special to help you forget someone very special,Oliver's Story,5.1,9.0
21,0,,17920,tt0300015,en,I Capture the Castle,"A love story set in 1930s England that follows 17-year-old Cassandra Mortmain, and the fortunes of her eccentric family, struggling to survive in a decaying English castle. Based on Dodie Smith's 1948 novel with the same name.",2.625315,2003-05-09,0.0,113.0,Released,You can't choose who you fall in love with,I Capture the Castle,7.1,26.0
22,0,,196255,tt2909154,en,Gregory Go Boom,A paraplegic man leaves home for the first time only to discover that life on the outside is not like he had imagined it.,0.995302,2013-05-22,0.0,18.0,Released,,Gregory Go Boom,6.3,4.0
23,0,,84672,tt0274069,en,Routine Pleasures,"Jean-Pierre Gorin interacts with a club of model railroad train enthusiasts and his mentor, artist/writer Manny Farber.",0.044807,1986-04-30,0.0,81.0,Released,,Routine Pleasures,5.0,1.0
24,0,,211085,tt2520096,en,Filthy Gorgeous: The Bob Guccione Story,"A look at the extraordinary world of Penthouse founder, visionary and provocateur Bob Guccione.",1.076442,2013-04-25,0.0,96.0,Released,,Filthy Gorgeous: The Bob Guccione Story,5.8,5.0
25,3000000,http://www.creaturethemovie.com,73963,tt1686018,en,Creature,"An ex-Navy seal (Mehcad Brooks), his girlfriend (Serinda Swan) and their friends head out on a road trip to New Orleans. The group decides to stop at a roadside convenience store owned by Chopper (Sid Haig), who tells them the tale of Lockjaw, a fabled god-like creature who is half-man, half-alligator.",3.619641,2011-09-09,0.0,95.0,Released,Terror Has Teeth,Creature,4.0,16.0
26,0,,25774,tt1056422,en,Fados,A drama steeped in Portugal's Fado music culture.,0.153843,2007-12-31,0.0,90.0,Released,,Fados,6.7,3.0
27,560000,http://www.thebeatles.com/film/hard-days-night,704,tt0058182,en,A Hard Day's Night,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",5.719266,1964-07-06,12299668.0,88.0,Released,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A Hard Day's Night,7.3,172.0
28,0,,56088,tt0114435,en,The Show,"A documentary about the culture of hip-hop. Through interviews with some of hip-hops biggest names, the film makers attempt to find out why it has become so popular.",0.159596,1995-08-25,0.0,93.0,,What Happens On Stage Is Only Half The Story!,The Show,5.3,2.0
29,0,,171108,tt0285021,en,Disney Sing-Along-Songs: Under the Sea,"Dive with some unforgettable Disney characters as Professor Owl and Professor Ludwig Von Drake take you to a Sing-Along on some watery tunes with on-screen lyrics. Each Disney song is featured through movie clips from The Little Mermaid, Peter Pan, The Sword In The Stone, 20,000 Leagues Under The Sea, The Rescuers, and some Disney scenes.",0.003244,1990-08-14,0.0,28.0,Released,,Disney Sing-Along-Songs: Under the Sea,8.0,3.0
30,0,,289190,tt3854104,en,Felt,A women creates an alter ego in hopes of overcoming the trauma inflicted by men in her life,0.643327,2014-09-18,0.0,80.0,Released,,Felt,5.0,9.0
31,0,,60033,tt0117898,en,"This World, Then the Fireworks","Marty Lakewood is a reporter forced to leave Chicago and his family because he had uncovered too much police corruption. He returns to his small home town on the California coast to his ailing mother and prostitute sister, with whom he had an incestuous affair. Being short of money, he seduces a woman cop in order to sell her house.",0.02329,1997-07-11,0.0,100.0,Released,Meet Marty and Carol. Two people who are very good at being bad.,"This World, Then the Fireworks",0.0,0.0
32,0,,66034,tt0116953,en,Mad Dog Time,"With his boss in the madhouse, a mobster is temporary boss of the criminal empire just as vicious rivals threaten the control of the empire.",0.768894,1996-11-08,0.0,93.0,Released,,Mad Dog Time,6.2,12.0
33,0,,156547,tt2483050,it,Mai Stati Uniti,,3.972868,2012-01-03,0.0,0.0,Released,,Mai Stati Uniti,5.8,61.0
34,35000000,,9726,tt0401445,en,A Good Year,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",7.82187,2006-09-09,42064105.0,118.0,Released,Everything matures... eventually.,A Good Year,6.5,360.0
35,0,,541,tt0048347,en,The Man with the Golden Arm,Frankie is a heroin addict and sits in prison. He wants a different life but the rehabilitation isn’t as easy as he had thought. Director Otto Preminger films one of the first social studies of an addict in this 1955 film.,3.353068,1955-12-14,0.0,119.0,Released,,The Man with the Golden Arm,6.9,51.0
36,13000000,,8859,tt0242423,en,"Dude, Where’s My Car?","Jesse and Chester, two bumbling stoners, wake up one morning from a night of partying and cannot remember where they parked their car. They encounter a variety of people while looking for it, including their angry girlfriends, an angry street gang, a transexual stripper, a cult of alien seeking fanatics, and aliens in human form looking for a mystical device that could save or destroy the world.",10.890236,2000-12-15,73180723.0,83.0,Released,"After a night they can't remember, comes a day they'll never forget.","Dude, Where’s My Car?",5.3,523.0
37,0,http://www.hbo.com/documentaries/marathon-the-patriots-day-bombing,418693,tt6047906,en,Marathon: The Patriots Day Bombing,"Recounts the dramatic story of the April 2013 terrorist attack at the Boston Marathon through the experiences of individuals whose lives were affected. Ranging from the events of the day to the death-penalty sentencing of Dzhokhar Tsarnaev, the film features surveillance footage, news clips, home movies and exclusive interviews with survivors and their families, as well as first responders, investigators, government officials and reporters from the Boston Globe, which won a Pulitzer Prize for its coverage of the bombing. In the wake of terrorism, a newlywed couple, a mother and daughter, and two brothers - all gravely injured by the blast - face the challenges of physical and emotional recovery as they and their families strive to reclaim their lives and communities.",0.349939,2016-11-21,0.0,108.0,Released,American strength. Individual courage. It didn't end at the finish line.,Marathon: The Patriots Day Bombing,6.6,7.0
38,0,,10704,tt0186654,en,Universal Soldier II: Brothers in Arms,"The Universal Soldiers are used to smuggle diamonds for a CIA Director, but Luc Deveroux continues to cause him problems.",3.074653,1998-09-27,0.0,92.0,Released,,Universal Soldier II: Brothers in Arms,3.7,8.0
39,0,,62131,tt0091415,en,Link,A zoology student must try to out smart a murderous and super-intelligent orangutan.,3.72826,1986-03-05,0.0,103.0,Released,"For thousands of years man has enslaved the ape, now the tables are about to turn.",Link,5.9,16.0
40,0,,49162,tt0882742,en,Alice Upside Down,"Still mourning the death of her mother a few years back, ALICE McKINLEY finds her life seriously disrupted when her father BEN buys a store and moves her and her older brother LESTER to a new town. In the painful throes of adolescence, Alice has a rough time adjusting to her new school, especially after she gets the stern MRS. PLOTKIN as her core teacher. Feeling shy and isolated, Alice frequently escapes into a vivid fantasy life that occasionally gets her into hot water. But with a little unexpected help from Mrs. Plotkin, Alice learns not to judge by appearances or jump to conclusions. More importantly, she confronts her father over his inability to accept their loss and move on into the future...",0.737691,2007-10-06,0.0,91.0,Released,,Alice Upside Down,6.1,11.0
41,0,,23606,tt0103704,ja,あの夏、いちばん静かな海。,"When deaf garbage man Shigeru (Kurôdo Maki) finds a broken surfboard on one of his runs, it piques his curiosity, even though he has no experience with surfing. So he repairs the board and, with loyal girlfriend Takako (Hiroko Oshima), who also is deaf, he sets out to learn how to ride the waves. He goes through mishaps and the locals mock him. But, with the help of a shop owner who once was a surfing legend, Shigeru may finally have a chance to become one with the sea and the surfing community.",1.619846,1991-10-19,0.0,101.0,Released,,A Scene at the Sea,7.1,27.0
42,0,,42165,tt0078850,en,Best Boy,"In this documentary, the director follows the day-to-day activities of his retarded, middle-aged cousin Philly, over a three-year period.",0.035437,1979-10-05,0.0,111.0,Released,,Best Boy,5.0,1.0
43,0,http://sepultura.uol.com.br/v7/,66144,tt0221543,en,Sepultura: Under Siege (Live in Barcelona),"Brazilian speed-thrash-death metal band Sepultura are legendary for the extreme degree to which they delve into the depths of their genre. Always striving to be louder, faster, and deadlier (metaphorically, or course), Sepultura have inspired a countless number of modern metal bands as well as legions of obsessive fans. UNDER SEIGE was filmed live at Zeleste in Barcelona, Spain. For nearly an hour, Sepultura thrash through ten of their songs.",0.067518,1991-05-12,0.0,54.0,Released,Earplugs are recommended.,Sepultura: Under Siege (Live in Barcelona),5.3,2.0
44,0,,298920,tt3971162,en,Ghost Planes and the Mysteries of Flight 370,"At the time of this writing, Malaysia Airlines Flight 370, transporting 227 passengers and 12 crew members from Kuala Lumpur to Beijing, has been missing for months. An unprecedented international search was unable to locate any bodies or debris. According to the Aviation Society Network, more than 80 aircrafts have been declared ""missing"" since 1948--""Ghost Planes"" that have literally vanished without a trace.",0.06329,2014-08-09,0.0,0.0,Released,,Ghost Planes and the Mysteries of Flight 370,0.0,0.0
45,0,,45219,tt0038107,en,The Southerner,A sharecropper fights the elements to start his own farm.,0.860984,1945-04-30,0.0,92.0,Released,,The Southerner,5.7,10.0
46,3800000,,15212,tt0844894,en,Species: The Awakening,"A scientist, Dr Holander, takes his niece Miranda to Mexico in an attempt to reverse the effects of the alien DNA he used to create her. However the treatment goes horribly wrong, and sets Miranda on a killing spree as she sets out to find a mate.",9.6804,2007-10-02,0.0,98.0,Released,Irresistible beauty. Unstoppable instincts.,Species: The Awakening,4.3,42.0
47,0,,20556,tt0065976,en,Let It Be,"Documentary film about The Beatles rehearsing and recording songs for the album Let It Be in January 1969. The film features an unannounced rooftop concert by the group, their last performance in public. Released just after the album, it was the final original Beatles release. This film has not been commercially available since the 1980s.",2.494236,1970-05-13,0.0,81.0,Released,,Let It Be,7.6,32.0
48,0,https://www.facebook.com/pages/Ill-Follow-You-Down/222501401232131,273404,tt2048770,en,I'll Follow You Down,"After the disappearance of a young scientist on a business trip, his son and wife struggle to cope, only to make a bizarre discovery years later - one that may bring him home.",4.968243,2013-07-28,0.0,93.0,Released,,I'll Follow You Down,6.0,66.0
49,75000,,10056,tt0048254,en,Killer's Kiss,"The film revolves around Davey Gordon (Jamie Smith), a 29 year old welterweight New York boxer in the end of his career, and his relationship with a dancer and her violent employer.",6.107034,1955-09-21,0.0,67.0,Released,Her Soft Mouth Was The Road To Sin-Smeared Violence!,Killer's Kiss,6.2,101.0
50,0,,248376,tt2290567,zh,E zhan,A laborer moves to Shanghai in the hope of becoming rich. But ends up using his kung fu skills to survive. Remake of The Boxer From Shantung.,3.550047,2014-01-06,0.0,95.0,Released,,Once Upon a Time in Shanghai,6.9,23.0
51,800000,,79649,tt0082352,en,Eyes of a Stranger,"A TV newswoman (Lauren Tewes) catches a pervert (John DiSanti) watching her sister (Jennifer Jason Leigh) who cannot see, hear or speak.",0.717502,1981-02-11,0.0,84.0,Released,"""Sorry, your party is dead...""",Eyes of a Stranger,6.5,12.0
52,6000000,,363925,tt4058210,pt,Operações Especiais,A group of honest police is sent to a country town to solve the problem of high crime. Soon they solve the problem while newcomer Francis (Cléo Pires) must overcome their limits to prove that it has value. They are acclaimed by public opinion. But before long the application of the force of the law begins to annoy everyone and the true enemy is revealed.,2.514515,2015-10-07,0.0,99.0,Released,,Operações Especiais,6.8,31.0
53,0,,188836,tt0079142,en,小子命大,"While on a fishing trip, Shao Lung's father is killed by Wu Pa Feng in front of the young man's eyes. Lung takes shelter with his uncle's traveling group of Kung Fu acrobats and begins honing his skills so he can one day have his revenge.",0.009192,1979-01-01,0.0,90.0,Released,,The Fearless Young Boxer,6.0,1.0
54,0,,140281,tt0038084,en,She Wouldn't Say Yes,"Susan Lane is a gifted psychiatrist, grounded in self-control. Before returning by train to her practice in Chicago, she spends time back East with war veterans, building their self-esteem, but frowning on the impulsive, as represented by a favorite comic strip called ""The Nixie."" She bumps into Michael Kent, an officer and the comic strip's author. He likes her instantly and she dislikes him. He's headed to the Pacific, sees her on the train, gets off in Chicago, and with her father's help, pursues her and hatches a plan to marry her. Meanwhile, she has her own plan to get rid of him with the help of a blond patient. Will the Nixie get into her psyche?",0.446719,1945-11-29,0.0,87.0,Released,It's all in fun... and fun for all !,She Wouldn't Say Yes,4.9,4.0
55,0,http://movies.disney.com/the-secret-of-the-magic-gourd,38057,tt0496386,zh,宝葫芦的秘密,"The Secret of the Magic Gourd follows the wondrous adventures of a young schoolboy named Wang Bao. When Wang Bao discovers a magical gourd that can instantly grant his every wish, the awkward child suddenly becomes a hero amongst his curious classmates. When the gourd proves more of a burden than a blessing and the boy decides to get rid of it, he quickly discovers that's easier said than done.",1.10277,2007-06-29,0.0,85.0,Released,,The Secret of the Magic Gourd,4.5,3.0
56,0,,31242,tt0308443,en,Just for Kicks,"Best known as the production designer on most of the Farrelly Brothers films, Sidney J. Bartholomew Jr. makes his directorial debut with this family-friendly soccer comedy. Real-life twin brothers Dylan and Cole Sprouse play a pair of soccer-playing kids severely lacking in skill on the field. But when they pledge to win, they have to pull it together or face the wrath of a local bully. Just 4 Kicks also stars Tom Arnold and features an appearance by soccer pro Cobi Jones. ~ Matthew Tobey, Rovi",0.719194,2003-01-01,0.0,92.0,Released,,Just 4 Kicks,4.0,1.0
57,10000000,,10890,tt0083131,en,Stripes,"John Winger, an indolent sad sack in his 30s, impulsively joins the U.S. Army after losing his job, his girlfriend and his apartment.",11.341505,1981-06-25,85300000.0,106.0,Released,The story of a man who wanted to keep the world safe for democracy...and meet girls.,Stripes,6.5,253.0
58,35000000,,2018,tt0209475,en,The Wedding Planner,"Mary Fiore, San Francisco's premiere wedding planner is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancé of her latest client, wealthy Fran Donnolly. As Mary continues making the wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.",8.056016,2001-01-26,94728529.0,103.0,Released,His big day is her big problem.,The Wedding Planner,5.4,433.0
59,0,,108010,tt0035710,en,Campus Rhythm,"Radio singer Joan Abbott, known as the ""Crunchy-Wunchy Thrush"", does not want to renew her contract with the cereal sponsor, as she wants to go to college. But her guardian, her Uncle Willie signs the contract in order to pay off his own debts.  But this time Joan won't take no for an answer and enrolls under an assumed name.  When Joan goes missing, the radio institutes a search for Joan via a publicity stunt.",0.602071,1943-11-19,0.0,63.0,Released,GET HEP to a HIT!,Campus Rhythm,4.0,1.0
60,0,http://www.magnetreleasing.com/vhs/,84348,tt2105044,en,V/H/S,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",7.820787,2012-07-28,100345.0,116.0,Released,This collection is killer.,V/H/S,5.8,385.0
61,0,,27845,tt0117958,en,Trees Lounge,"Tommy has lost his job, his love and his life. He lives in a small apartment above the Trees Lounge, a bar which he frequents along with a few other regulars without lives. He gets a job driving an ice cream truck and ends up getting involved with the seventeen-year-old niece of his ex-girlfriend. This gets him into serious trouble with her father.",3.464286,1996-10-11,0.0,95.0,Released,,Trees Lounge,6.7,51.0
62,2000000,,41393,tt0429277,en,Zyzzyx Road,"A married man (Leo Grillo) meets a beautiful woman (Katherine Heigl) in a Las Vegas casino and allows her to seduce him. When her jealous boyfriend (Tom Sizemore) finds them together, a scuffle results in the boyfriend's death. The lovers head to the desert to bury the corpse, but it disappears.",0.717595,2006-02-25,30.0,90.0,Released,Dead Ahead,Zyzzyx Road,4.0,4.0
63,1300000,,54474,tt0326450,ru,Zvezda,"The film is based on the eponymous book by Emmanuil Kazakevich. In the summer of 1944 the Nazi Armies prepare a massive Tank Division named 'Viking"" for the offensive on occupied Russian land. The Russian Army's special group of seven snipers named ""Zvezda"" is sent for a reconnaissance operation behind the enemy lines in the back of the Nazi Tank Division. Two previous Russian groups never came back. The seven Russians know that they are going to an almost certain Death for the sake of Victory.",0.321524,2002-05-06,809000.0,97.0,Released,,The Star,5.0,7.0
64,0,,171840,tt0173957,en,Kimberly,"Four young men fall in love with the same woman. When they all find themselves attracted by Kimberly, hey vow not to fight for her affections during the season -- but then she gets pregnant and doesn't know which teammate is the father.",0.952744,2000-11-07,0.0,106.0,Released,Boy meets girl...it's not the same old story!,Kimberly,3.7,3.0
65,0,,382170,tt4671274,ja,リップヴァンウィンクルの花嫁,A woman hires actors and strangers to pretend to be her friends and family at her wedding.,1.197393,2016-03-26,0.0,179.0,Released,,A Bride for Rip Van Winkle,6.7,11.0
66,0,,7454,tt0252963,en,The Bunker,"In 1944, in the Belgian - German border, seven German soldiers survive an American attack in the front and lock themselves in a bunker to protect the position. Under siege by the enemy and with little ammunition, they decide to explore underground tunnels to seek supplies and find an escape route. While in the tunnel, weird things happen with the group.",4.415318,2001-09-14,0.0,95.0,Released,,The Bunker,5.8,10.0
67,0,,23908,tt0102443,en,A Midnight Clear,"Set in 1944 France, an American Intelligence Squad locates a German Platoon wishing to surrender rather than die in Germany's final war offensive. The two groups of men, isolated from the war at present, put aside their differences and spend Christmas together before the surrender plan turns bad and both sides are forced to fight the other.",7.210452,1992-04-24,0.0,108.0,Released,,A Midnight Clear,6.9,29.0
68,0,,27204,tt0287986,fr,"Dieu est grand, je suis toute petite","Michèle, 20 years old, feels terrible after having broken up with her boy-friend. She meets Francois, who's a veterinarian and jewish. Michèle decides to convert into Judaism because she has to believe in something, if not in someone.",1.534982,2001-09-26,0.0,100.0,Released,,God Is Great and I'm Not,5.0,3.0
69,27000000,,8512,tt0112857,en,Devil in a Blue Dress,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",4.646132,1995-09-15,16140822.0,102.0,Released,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,Devil in a Blue Dress,6.3,88.0
70,0,,117790,tt0495167,nl,Langer Licht,A drama based around a boxing school owner and his son.,0.038876,2006-04-20,0.0,85.0,Released,,Northern Light,6.0,1.0
71,280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,tt2395427,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,2015-04-22,1405403694.0,141.0,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6908.0
72,5000000,,12828,tt0452345,en,No. 2,"A matriarch organizes a feast with her family, in which she will name her successor. The heart has gone out of Nanna Maria's family. There are no parties — they don't even fight anymore...",0.20242,2006-02-16,0.0,94.0,Released,One place. One night.,No. 2,6.5,2.0
73,0,,56725,tt0098026,en,One Man Force,"In this action packed film, an L.A. cop speeds off to get revenge upon the dirty drug-dealing dogs who killed his partner",0.005568,1989-09-21,0.0,92.0,Released,No one enforces the law like he does!,One Man Force,4.0,4.0
74,0,,78318,tt0031516,en,Juarez,The newly named emperor Maximilian and his wife Carolotta arrive in Mexico to face popular sentiment favoring Benito Juraez and democracy..,0.657739,1939-06-10,0.0,125.0,Released,See It Now ! You'll Remember It Always !,Juarez,6.4,5.0
